"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Azerbaijan","AZE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","13.55","12.51","11.94","11.49","9.43","6.91","5.23","5.24","4.29","3.88","4.2","4.47","4.28","4.3","4.26","4.35","4.37","4.32","4.61","4.7","","","",
"Burundi","BDI","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.37","10.52","10.07","10.05","9.66","9.48","9.05","8.83","8.45","8.03","7.93","7.77","7.41","7.42","7.08","7.38","7.56","7.62","7.71","7.62","7.75","7.59","","",
"Belgium","BEL","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51","5.41","5.15","5.32","5.16","5.01","4.83","4.57","4.69","4.59","4.81","4.4","4.19","4.35","4.04","3.95","4.12","4.04","3.82","3.85","3.74","3.89","","",
"Benin","BEN","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88","4.93","5.05","5.15","5.15","5.08","5.76","5.91","5.76","5.91","6","5.82","5.61","5.71","5.54","5.79","6.22","6.11","6.05","5.69","5.77","","","",
"Burkina Faso","BFA","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.49","5.15","5.08","4.88","4.8","5.55","5.6","5.72","5.72","5.66","5.42","5.2","5.15","5.04","4.91","4.94","4.76","4.72","4.6","4.5","4.43","4.14","","",
"Bangladesh","BGD","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.61","2.76","2.69","2.7","2.62","2.58","2.58","2.51","2.48","2.48","2.47","2.4","2.36","2.37","2.31","2.32","2.34","2.27","2.16","2.07","2.01","","","",
"Bulgaria","BGR","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.08","9.11","8.38","8.16","7.45","7.36","7.1","6.53","6.07","5.51","5.52","5.82","5.52","5.13","5.34","5.38","5.09","5.12","4.98","4.73","4.71","","","",
"Bahrain","BHR","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.43","10.41","10.45","10.3","9.83","10.55","10.36","10.31","10.35","9.7","9.59","9.42","8.64","9.54","8.77","9.05","8.62","8.33","8.24","8.68","9.47","","","",
"Bahamas, The","BHS","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","2.19","2.24","2.32","2.27","2.1","2","2.01","2.08","2.46","2.51","2.35","2.23","2.25","2.33","2.42","2.4","2.62","2.49","2.49","2.89","2.75","","",
"Bosnia and Herzegovina","BIH","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.38","6.02","6.01","5.78","5.94","5.99","5.98","5.65","6.02","6.48","6.7","7.31","6.9","6.51","5.98","5.97","6.33","6.12","6.54","6.15","6.24","","","",
