"Report generated on: 03-27-2024 12:02:01"
"Series Key",INTL.4008-8-USOH-MMTCD.A,"Series Key",INTL.4008-8-ARG-MMTCD.A,"Series Key",INTL.4008-8-BEN-MMTCD.A,"Series Key",INTL.4008-8-BHR-MMTCD.A,"Series Key",INTL.4008-8-BRN-MMTCD.A,"Series Key",INTL.4008-8-CHL-MMTCD.A,"Series Key",INTL.4008-8-COL-MMTCD.A,"Series Key",INTL.4008-8-CZE-MMTCD.A,"Series Key",INTL.4008-8-DNK-MMTCD.A,"Series Key",INTL.4008-8-ERI-MMTCD.A,"Series Key",INTL.4008-8-FSM-MMTCD.A,"Series Key",INTL.4008-8-GIB-MMTCD.A,"Series Key",INTL.4008-8-GNB-MMTCD.A,"Series Key",INTL.4008-8-IRQ-MMTCD.A,"Series Key",INTL.4008-8-KAZ-MMTCD.A,"Series Key",INTL.4008-8-MDV-MMTCD.A,"Series Key",INTL.4008-8-MTQ-MMTCD.A,"Series Key",INTL.4008-8-NLD-MMTCD.A,"Series Key",INTL.4008-8-OMN-MMTCD.A,"Series Key",INTL.4008-8-PYF-MMTCD.A,"Series Key",INTL.4008-8-SAU-MMTCD.A,"Series Key",INTL.4008-8-SUR-MMTCD.A,"Series Key",INTL.4008-8-SYC-MMTCD.A,"Series Key",INTL.4008-8-THA-MMTCD.A,"Series Key",INTL.4008-8-TUR-MMTCD.A,"Series Key",INTL.4008-8-VGB-MMTCD.A,"Series Key",INTL.4008-8-VUT-MMTCD.A,"Series Key",INTL.4008-8-ZWE-MMTCD.A,"Series Key",INTL.4008-8-ASM-MMTCD.A,"Series Key",INTL.4008-8-BEL-MMTCD.A,"Series Key",INTL.4008-8-BLZ-MMTCD.A,"Series Key",INTL.4008-8-BWA-MMTCD.A,"Series Key",INTL.4008-8-CYP-MMTCD.A,"Series Key",INTL.4008-8-ESP-MMTCD.A,"Series Key",INTL.4008-8-FRO-MMTCD.A,"Series Key",INTL.4008-8-GUM-MMTCD.A,"Series Key",INTL.4008-8-HTI-MMTCD.A,"Series Key",INTL.4008-8-ISR-MMTCD.A,"Series Key",INTL.4008-8-KHM-MMTCD.A,"Series Key",INTL.4008-8-LBY-MMTCD.A,"Series Key",INTL.4008-8-LVA-MMTCD.A,"Series Key",INTL.4008-8-MKD-MMTCD.A,"Series Key",INTL.4008-8-MSR-MMTCD.A,"Series Key",INTL.4008-8-NCL-MMTCD.A,"Series Key",INTL.4008-8-NRU-MMTCD.A,"Series Key",INTL.4008-8-PHL-MMTCD.A,"Series Key",INTL.4008-8-PSE-MMTCD.A,"Series Key",INTL.4008-8-SDN-MMTCD.A,"Series Key",INTL.4008-8-SSD-MMTCD.A,"Series Key",INTL.4008-8-TGO-MMTCD.A,"Series Key",INTL.4008-8-UGA-MMTCD.A,"Series Key",INTL.4008-8-VCT-MMTCD.A,"Series Key",INTL.4008-8-XKS-MMTCD.A,"Series Key",INTL.4008-8-AFG-MMTCD.A,"Series Key",INTL.4008-8-ATG-MMTCD.A,"Series Key",INTL.4008-8-BLR-MMTCD.A,"Series Key",INTL.4008-8-CMR-MMTCD.A,"Series Key",INTL.4008-8-CPV-MMTCD.A,"Series Key",INTL.4008-8-DMA-MMTCD.A,"Series Key",INTL.4008-8-FJI-MMTCD.A,"Series Key",INTL.4008-8-GLP-MMTCD.A,"Series Key",INTL.4008-8-GRL-MMTCD.A,"Series Key",INTL.4008-8-HUN-MMTCD.A,"Series Key",INTL.4008-8-ISL-MMTCD.A,"Series Key",INTL.4008-8-KOR-MMTCD.A,"Series Key",INTL.4008-8-LCA-MMTCD.A,"Series Key",INTL.4008-8-MAR-MMTCD.A,"Series Key",INTL.4008-8-MMR-MMTCD.A,"Series Key",INTL.4008-8-MNP-MMTCD.A,"Series Key",INTL.4008-8-PER-MMTCD.A,"Series Key",INTL.4008-8-PRK-MMTCD.A,"Series Key",INTL.4008-8-SHN-MMTCD.A,"Series Key",INTL.4008-8-SLV-MMTCD.A,"Series Key",INTL.4008-8-SWE-MMTCD.A,"Series Key",INTL.4008-8-TON-MMTCD.A,"Series Key",INTL.4008-8-TZA-MMTCD.A,"Series Key",INTL.4008-8-NLDA-MMTCD.A,"Series Key",INTL.4008-8-HITZ-MMTCD.A,"Series Key",INTL.4008-8-ARM-MMTCD.A,"Series Key",INTL.4008-8-AUT-MMTCD.A,"Series Key",INTL.4008-8-BIH-MMTCD.A,"Series Key",INTL.4008-8-BTN-MMTCD.A,"Series Key",INTL.4008-8-COK-MMTCD.A,"Series Key",INTL.4008-8-ECU-MMTCD.A,"Series Key",INTL.4008-8-FRA-MMTCD.A,"Series Key",INTL.4008-8-GRD-MMTCD.A,"Series Key",INTL.4008-8-HND-MMTCD.A,"Series Key",INTL.4008-8-IRL-MMTCD.A,"Series Key",INTL.4008-8-JPN-MMTCD.A,"Series Key",INTL.4008-8-LAO-MMTCD.A,"Series Key",INTL.4008-8-LUX-MMTCD.A,"Series Key",INTL.4008-8-MDA-MMTCD.A,"Series Key",INTL.4008-8-MOZ-MMTCD.A,"Series Key",INTL.4008-8-MWI-MMTCD.A,"Series Key",INTL.4008-8-NIU-MMTCD.A,"Series Key",INTL.4008-8-PAN-MMTCD.A,"Series Key",INTL.4008-8-PRT-MMTCD.A,"Series Key",INTL.4008-8-RWA-MMTCD.A,"Series Key",INTL.4008-8-SRB-MMTCD.A,"Series Key",INTL.4008-8-SVN-MMTCD.A,"Series Key",INTL.4008-8-TUV-MMTCD.A,"Series Key",INTL.4008-8-USA-MMTCD.A,"Series Key",INTL.4008-8-WAK-MMTCD.A,"Series Key",INTL.4008-8-ARE-MMTCD.A,"Series Key",INTL.4008-8-BGR-MMTCD.A,"Series Key",INTL.4008-8-CAN-MMTCD.A,"Series Key",INTL.4008-8-COM-MMTCD.A,"Series Key",INTL.4008-8-CSK-MMTCD.A,"Series Key",INTL.4008-8-ESH-MMTCD.A,"Series Key",INTL.4008-8-GEO-MMTCD.A,"Series Key",INTL.4008-8-GRC-MMTCD.A,"Series Key",INTL.4008-8-HRV-MMTCD.A,"Series Key",INTL.4008-8-IRN-MMTCD.A,"Series Key",INTL.4008-8-KIR-MMTCD.A,"Series Key",INTL.4008-8-LBR-MMTCD.A,"Series Key",INTL.4008-8-LTU-MMTCD.A,"Series Key",INTL.4008-8-MEX-MMTCD.A,"Series Key",INTL.4008-8-MNG-MMTCD.A,"Series Key",INTL.4008-8-NGA-MMTCD.A,"Series Key",INTL.4008-8-PRI-MMTCD.A,"Series Key",INTL.4008-8-SCG-MMTCD.A,"Series Key",INTL.4008-8-SLE-MMTCD.A,"Series Key",INTL.4008-8-SPM-MMTCD.A,"Series Key",INTL.4008-8-TLS-MMTCD.A,"Series Key",INTL.4008-8-TWN-MMTCD.A,"Series Key",INTL.4008-8-ZAF-MMTCD.A,"Series Key",INTL.4008-8-USIQ-MMTCD.A,"Series Key",INTL.4008-8-ALB-MMTCD.A,"Series Key",INTL.4008-8-BDI-MMTCD.A,"Series Key",INTL.4008-8-BGD-MMTCD.A,"Series Key",INTL.4008-8-BRA-MMTCD.A,"Series Key",INTL.4008-8-CHE-MMTCD.A,"Series Key",INTL.4008-8-COD-MMTCD.A,"Series Key",INTL.4008-8-CYM-MMTCD.A,"Series Key",INTL.4008-8-DEU-MMTCD.A,"Series Key",INTL.4008-8-EGY-MMTCD.A,"Series Key",INTL.4008-8-FIN-MMTCD.A,"Series Key",INTL.4008-8-GBR-MMTCD.A,"Series Key",INTL.4008-8-GMB-MMTCD.A,"Series Key",INTL.4008-8-GUY-MMTCD.A,"Series Key",INTL.4008-8-JOR-MMTCD.A,"Series Key",INTL.4008-8-KNA-MMTCD.A,"Series Key",INTL.4008-8-MRT-MMTCD.A,"Series Key",INTL.4008-8-NIC-MMTCD.A,"Series Key",INTL.4008-8-NPL-MMTCD.A,"Series Key",INTL.4008-8-PRY-MMTCD.A,"Series Key",INTL.4008-8-REU-MMTCD.A,"Series Key",INTL.4008-8-STP-MMTCD.A,"Series Key",INTL.4008-8-SWZ-MMTCD.A,"Series Key",INTL.4008-8-TCD-MMTCD.A,"Series Key",INTL.4008-8-TTO-MMTCD.A,"Series Key",INTL.4008-8-UZB-MMTCD.A,"Series Key",INTL.4008-8-VNM-MMTCD.A,"Series Key",INTL.4008-8-YUG-MMTCD.A,"Series Key",INTL.4008-8-ABW-MMTCD.A,"Series Key",INTL.4008-8-ATA-MMTCD.A,"Series Key",INTL.4008-8-BFA-MMTCD.A,"Series Key",INTL.4008-8-BMU-MMTCD.A,"Series Key",INTL.4008-8-CAF-MMTCD.A,"Series Key",INTL.4008-8-CIV-MMTCD.A,"Series Key",INTL.4008-8-CUB-MMTCD.A,"Series Key",INTL.4008-8-DDR-MMTCD.A,"Series Key",INTL.4008-8-DOM-MMTCD.A,"Series Key",INTL.4008-8-EST-MMTCD.A,"Series Key",INTL.4008-8-GAB-MMTCD.A,"Series Key",INTL.4008-8-GIN-MMTCD.A,"Series Key",INTL.4008-8-GTM-MMTCD.A,"Series Key",INTL.4008-8-JAM-MMTCD.A,"Series Key",INTL.4008-8-KEN-MMTCD.A,"Series Key",INTL.4008-8-MLT-MMTCD.A,"Series Key",INTL.4008-8-NAM-MMTCD.A,"Series Key",INTL.4008-8-NOR-MMTCD.A,"Series Key",INTL.4008-8-PAK-MMTCD.A,"Series Key",INTL.4008-8-QAT-MMTCD.A,"Series Key",INTL.4008-8-SGP-MMTCD.A,"Series Key",INTL.4008-8-SVK-MMTCD.A,"Series Key",INTL.4008-8-TCA-MMTCD.A,"Series Key",INTL.4008-8-TJK-MMTCD.A,"Series Key",INTL.4008-8-UKR-MMTCD.A,"Series Key",INTL.4008-8-VIR-MMTCD.A,"Series Key",INTL.4008-8-YEM-MMTCD.A,"Series Key",INTL.4008-8-AUS-MMTCD.A,"Series Key",INTL.4008-8-BHS-MMTCD.A,"Series Key",INTL.4008-8-BRB-MMTCD.A,"Series Key",INTL.4008-8-CHN-MMTCD.A,"Series Key",INTL.4008-8-DJI-MMTCD.A,"Series Key",INTL.4008-8-ETH-MMTCD.A,"Series Key",INTL.4008-8-GHA-MMTCD.A,"Series Key",INTL.4008-8-HKG-MMTCD.A,"Series Key",INTL.4008-8-IDN-MMTCD.A,"Series Key",INTL.4008-8-ITA-MMTCD.A,"Series Key",INTL.4008-8-KWT-MMTCD.A,"Series Key",INTL.4008-8-LKA-MMTCD.A,"Series Key",INTL.4008-8-MAC-MMTCD.A,"Series Key",INTL.4008-8-MLI-MMTCD.A,"Series Key",INTL.4008-8-MUS-MMTCD.A,"Series Key",INTL.4008-8-NER-MMTCD.A,"Series Key",INTL.4008-8-NZL-MMTCD.A,"Series Key",INTL.4008-8-PNG-MMTCD.A,"Series Key",INTL.4008-8-ROU-MMTCD.A,"Series Key",INTL.4008-8-SEN-MMTCD.A,"Series Key",INTL.4008-8-SUN-MMTCD.A,"Series Key",INTL.4008-8-TKM-MMTCD.A,"Series Key",INTL.4008-8-URY-MMTCD.A,"Series Key",INTL.4008-8-VEN-MMTCD.A,"Series Key",INTL.4008-8-ZMB-MMTCD.A,"Series Key",INTL.4008-8-AGO-MMTCD.A,"Series Key",INTL.4008-8-AZE-MMTCD.A,"Series Key",INTL.4008-8-BOL-MMTCD.A,"Series Key",INTL.4008-8-COG-MMTCD.A,"Series Key",INTL.4008-8-CRI-MMTCD.A,"Series Key",INTL.4008-8-DZA-MMTCD.A,"Series Key",INTL.4008-8-FLK-MMTCD.A,"Series Key",INTL.4008-8-GNQ-MMTCD.A,"Series Key",INTL.4008-8-GUF-MMTCD.A,"Series Key",INTL.4008-8-IND-MMTCD.A,"Series Key",INTL.4008-8-KGZ-MMTCD.A,"Series Key",INTL.4008-8-LBN-MMTCD.A,"Series Key",INTL.4008-8-LSO-MMTCD.A,"Series Key",INTL.4008-8-MDG-MMTCD.A,"Series Key",INTL.4008-8-MNE-MMTCD.A,"Series Key",INTL.4008-8-MYS-MMTCD.A,"Series Key",INTL.4008-8-POL-MMTCD.A,"Series Key",INTL.4008-8-RUS-MMTCD.A,"Series Key",INTL.4008-8-SLB-MMTCD.A,"Series Key",INTL.4008-8-SOM-MMTCD.A,"Series Key",INTL.4008-8-SYR-MMTCD.A,"Series Key",INTL.4008-8-TUN-MMTCD.A,"Series Key",INTL.4008-8-WSM-MMTCD.A,"Series Key",INTL.4008-8-DEUW-MMTCD.A
"Series Name","CO2 emissions, U.S. Territories, Annual","Series Name","CO2 emissions, Argentina, Annual","Series Name","CO2 emissions, Benin, Annual","Series Name","CO2 emissions, Bahrain, Annual","Series Name","CO2 emissions, Brunei, Annual","Series Name","CO2 emissions, Chile, Annual","Series Name","CO2 emissions, Colombia, Annual","Series Name","CO2 emissions, Czechia, Annual","Series Name","CO2 emissions, Denmark, Annual","Series Name","CO2 emissions, Eritrea, Annual","Series Name","CO2 emissions, Micronesia, Annual","Series Name","CO2 emissions, Gibraltar, Annual","Series Name","CO2 emissions, Guinea-Bissau, Annual","Series Name","CO2 emissions, Iraq, Annual","Series Name","CO2 emissions, Kazakhstan, Annual","Series Name","CO2 emissions, Maldives, Annual","Series Name","CO2 emissions, Martinique, Annual","Series Name","CO2 emissions, Netherlands, Annual","Series Name","CO2 emissions, Oman, Annual","Series Name","CO2 emissions, French Polynesia, Annual","Series Name","CO2 emissions, Saudi Arabia, Annual","Series Name","CO2 emissions, Suriname, Annual","Series Name","CO2 emissions, Seychelles, Annual","Series Name","CO2 emissions, Thailand, Annual","Series Name","CO2 emissions, Turkiye, Annual","Series Name","CO2 emissions, British Virgin Islands, Annual","Series Name","CO2 emissions, Vanuatu, Annual","Series Name","CO2 emissions, Zimbabwe, Annual","Series Name","CO2 emissions, American Samoa, Annual","Series Name","CO2 emissions, Belgium, Annual","Series Name","CO2 emissions, Belize, Annual","Series Name","CO2 emissions, Botswana, Annual","Series Name","CO2 emissions, Cyprus, Annual","Series Name","CO2 emissions, Spain, Annual","Series Name","CO2 emissions, Faroe Islands, Annual","Series Name","CO2 emissions, Guam, Annual","Series Name","CO2 emissions, Haiti, Annual","Series Name","CO2 emissions, Israel, Annual","Series Name","CO2 emissions, Cambodia, Annual","Series Name","CO2 emissions, Libya, Annual","Series Name","CO2 emissions, Latvia, Annual","Series Name","CO2 emissions, North Macedonia, Annual","Series Name","CO2 emissions, Montserrat, Annual","Series Name","CO2 emissions, New Caledonia, Annual","Series Name","CO2 emissions, Nauru, Annual","Series Name","CO2 emissions, Philippines, Annual","Series Name","CO2 emissions, Palestinian Territories, Annual","Series Name","CO2 emissions, Sudan, Annual","Series Name","CO2 emissions, South Sudan, Annual","Series Name","CO2 emissions, Togo, Annual","Series Name","CO2 emissions, Uganda, Annual","Series Name","CO2 emissions, Saint Vincent/Grenadines, Annual","Series Name","CO2 emissions, Kosovo, Annual","Series Name","CO2 emissions, Afghanistan, Annual","Series Name","CO2 emissions, Antigua and Barbuda, Annual","Series Name","CO2 emissions, Belarus, Annual","Series Name","CO2 emissions, Cameroon, Annual","Series Name","CO2 emissions, Cabo Verde, Annual","Series Name","CO2 emissions, Dominica, Annual","Series Name","CO2 emissions, Fiji, Annual","Series Name","CO2 emissions, Guadeloupe, Annual","Series Name","CO2 emissions, Greenland, Annual","Series Name","CO2 emissions, Hungary, Annual","Series Name","CO2 emissions, Iceland, Annual","Series Name","CO2 emissions, South Korea, Annual","Series Name","CO2 emissions, Saint Lucia, Annual","Series Name","CO2 emissions, Morocco, Annual","Series Name","CO2 emissions, Burma, Annual","Series Name","CO2 emissions, Northern Mariana Islands, Annual","Series Name","CO2 emissions, Peru, Annual","Series Name","CO2 emissions, North Korea, Annual","Series Name","CO2 emissions, Saint Helena, Annual","Series Name","CO2 emissions, El Salvador, Annual","Series Name","CO2 emissions, Sweden, Annual","Series Name","CO2 emissions, Tonga, Annual","Series Name","CO2 emissions, Tanzania, Annual","Series Name","CO2 emissions, Netherlands Antilles, Annual","Series Name","CO2 emissions, Hawaiian Trade Zone, Annual","Series Name","CO2 emissions, Armenia, Annual","Series Name","CO2 emissions, Austria, Annual","Series Name","CO2 emissions, Bosnia and Herzegovina, Annual","Series Name","CO2 emissions, Bhutan, Annual","Series Name","CO2 emissions, Cook Islands, Annual","Series Name","CO2 emissions, Ecuador, Annual","Series Name","CO2 emissions, France, Annual","Series Name","CO2 emissions, Grenada, Annual","Series Name","CO2 emissions, Honduras, Annual","Series Name","CO2 emissions, Ireland, Annual","Series Name","CO2 emissions, Japan, Annual","Series Name","CO2 emissions, Laos, Annual","Series Name","CO2 emissions, Luxembourg, Annual","Series Name","CO2 emissions, Moldova, Annual","Series Name","CO2 emissions, Mozambique, Annual","Series Name","CO2 emissions, Malawi, Annual","Series Name","CO2 emissions, Niue, Annual","Series Name","CO2 emissions, Panama, Annual","Series Name","CO2 emissions, Portugal, Annual","Series Name","CO2 emissions, Rwanda, Annual","Series Name","CO2 emissions, Serbia, Annual","Series Name","CO2 emissions, Slovenia, Annual","Series Name","CO2 emissions, Tuvalu, Annual","Series Name","CO2 emissions, United States, Annual","Series Name","CO2 emissions, Wake Island, Annual","Series Name","CO2 emissions, United Arab Emirates, Annual","Series Name","CO2 emissions, Bulgaria, Annual","Series Name","CO2 emissions, Canada, Annual","Series Name","CO2 emissions, Comoros, Annual","Series Name","CO2 emissions, Former Czechoslovakia, Annual","Series Name","CO2 emissions, Western Sahara, Annual","Series Name","CO2 emissions, Georgia, Annual","Series Name","CO2 emissions, Greece, Annual","Series Name","CO2 emissions, Croatia, Annual","Series Name","CO2 emissions, Iran, Annual","Series Name","CO2 emissions, Kiribati, Annual","Series Name","CO2 emissions, Liberia, Annual","Series Name","CO2 emissions, Lithuania, Annual","Series Name","CO2 emissions, Mexico, Annual","Series Name","CO2 emissions, Mongolia, Annual","Series Name","CO2 emissions, Nigeria, Annual","Series Name","CO2 emissions, Puerto Rico, Annual","Series Name","CO2 emissions, Former Serbia and Montenegro, Annual","Series Name","CO2 emissions, Sierra Leone, Annual","Series Name","CO2 emissions, Saint Pierre and Miquelon, Annual","Series Name","CO2 emissions, Timor-Leste, Annual","Series Name","CO2 emissions, Taiwan, Annual","Series Name","CO2 emissions, South Africa, Annual","Series Name","CO2 emissions, U.S. Pacific Islands, Annual","Series Name","CO2 emissions, Albania, Annual","Series Name","CO2 emissions, Burundi, Annual","Series Name","CO2 emissions, Bangladesh, Annual","Series Name","CO2 emissions, Brazil, Annual","Series Name","CO2 emissions, Switzerland, Annual","Series Name","CO2 emissions, Congo-Kinshasa, Annual","Series Name","CO2 emissions, Cayman Islands, Annual","Series Name","CO2 emissions, Germany, Annual","Series Name","CO2 emissions, Egypt, Annual","Series Name","CO2 emissions, Finland, Annual","Series Name","CO2 emissions, United Kingdom, Annual","Series Name","CO2 emissions, Gambia, The, Annual","Series Name","CO2 emissions, Guyana, Annual","Series Name","CO2 emissions, Jordan, Annual","Series Name","CO2 emissions, Saint Kitts and Nevis, Annual","Series Name","CO2 emissions, Mauritania, Annual","Series Name","CO2 emissions, Nicaragua, Annual","Series Name","CO2 emissions, Nepal, Annual","Series Name","CO2 emissions, Paraguay, Annual","Series Name","CO2 emissions, Reunion, Annual","Series Name","CO2 emissions, Sao Tome and Principe, Annual","Series Name","CO2 emissions, Eswatini, Annual","Series Name","CO2 emissions, Chad, Annual","Series Name","CO2 emissions, Trinidad and Tobago, Annual","Series Name","CO2 emissions, Uzbekistan, Annual","Series Name","CO2 emissions, Vietnam, Annual","Series Name","CO2 emissions, Former Yugoslavia, Annual","Series Name","CO2 emissions, Aruba, Annual","Series Name","CO2 emissions, Antarctica, Annual","Series Name","CO2 emissions, Burkina Faso, Annual","Series Name","CO2 emissions, Bermuda, Annual","Series Name","CO2 emissions, Central African Republic, Annual","Series Name","CO2 emissions, Cote d'Ivoire, Annual","Series Name","CO2 emissions, Cuba, Annual","Series Name","CO2 emissions, Germany, East, Annual","Series Name","CO2 emissions, Dominican Republic, Annual","Series Name","CO2 emissions, Estonia, Annual","Series Name","CO2 emissions, Gabon, Annual","Series Name","CO2 emissions, Guinea, Annual","Series Name","CO2 emissions, Guatemala, Annual","Series Name","CO2 emissions, Jamaica, Annual","Series Name","CO2 emissions, Kenya, Annual","Series Name","CO2 emissions, Malta, Annual","Series Name","CO2 emissions, Namibia, Annual","Series Name","CO2 emissions, Norway, Annual","Series Name","CO2 emissions, Pakistan, Annual","Series Name","CO2 emissions, Qatar, Annual","Series Name","CO2 emissions, Singapore, Annual","Series Name","CO2 emissions, Slovakia, Annual","Series Name","CO2 emissions, Turks and Caicos Islands, Annual","Series Name","CO2 emissions, Tajikistan, Annual","Series Name","CO2 emissions, Ukraine, Annual","Series Name","CO2 emissions, U.S. Virgin Islands, Annual","Series Name","CO2 emissions, Yemen, Annual","Series Name","CO2 emissions, Australia, Annual","Series Name","CO2 emissions, The Bahamas, Annual","Series Name","CO2 emissions, Barbados, Annual","Series Name","CO2 emissions, China, Annual","Series Name","CO2 emissions, Djibouti, Annual","Series Name","CO2 emissions, Ethiopia, Annual","Series Name","CO2 emissions, Ghana, Annual","Series Name","CO2 emissions, Hong Kong, Annual","Series Name","CO2 emissions, Indonesia, Annual","Series Name","CO2 emissions, Italy, Annual","Series Name","CO2 emissions, Kuwait, Annual","Series Name","CO2 emissions, Sri Lanka, Annual","Series Name","CO2 emissions, Macau, Annual","Series Name","CO2 emissions, Mali, Annual","Series Name","CO2 emissions, Mauritius, Annual","Series Name","CO2 emissions, Niger, Annual","Series Name","CO2 emissions, New Zealand, Annual","Series Name","CO2 emissions, Papua New Guinea, Annual","Series Name","CO2 emissions, Romania, Annual","Series Name","CO2 emissions, Senegal, Annual","Series Name","CO2 emissions, Former U.S.S.R., Annual","Series Name","CO2 emissions, Turkmenistan, Annual","Series Name","CO2 emissions, Uruguay, Annual","Series Name","CO2 emissions, Venezuela, Annual","Series Name","CO2 emissions, Zambia, Annual","Series Name","CO2 emissions, Angola, Annual","Series Name","CO2 emissions, Azerbaijan, Annual","Series Name","CO2 emissions, Bolivia, Annual","Series Name","CO2 emissions, Congo-Brazzaville, Annual","Series Name","CO2 emissions, Costa Rica, Annual","Series Name","CO2 emissions, Algeria, Annual","Series Name","CO2 emissions, Falkland Islands, Annual","Series Name","CO2 emissions, Equatorial Guinea, Annual","Series Name","CO2 emissions, French Guiana, Annual","Series Name","CO2 emissions, India, Annual","Series Name","CO2 emissions, Kyrgyzstan, Annual","Series Name","CO2 emissions, Lebanon, Annual","Series Name","CO2 emissions, Lesotho, Annual","Series Name","CO2 emissions, Madagascar, Annual","Series Name","CO2 emissions, Montenegro, Annual","Series Name","CO2 emissions, Malaysia, Annual","Series Name","CO2 emissions, Poland, Annual","Series Name","CO2 emissions, Russia, Annual","Series Name","CO2 emissions, Solomon Islands, Annual","Series Name","CO2 emissions, Somalia, Annual","Series Name","CO2 emissions, Syria, Annual","Series Name","CO2 emissions, Tunisia, Annual","Series Name","CO2 emissions, Samoa, Annual","Series Name","CO2 emissions, Germany, West, Annual"
Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD,Units,MMTCD
