,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
5805,Iceland,2015,15658.37012,0.330243,0.181162342,1486.41,76060.36719,0.534942806,0.237985641,0.482444346,-0.594385147
5809,Iceland,2019,17972.625,0.339031,0.192338079,1454.49,87042.46875,0.542143404,0.253658086,0.452831417,-0.595359266
5920,Italy,1990,1541241.875,57.048236,22.80319786,1856.4,6538838.0,0.595730066,0.276443511,0.190325588,-0.214417771
5925,Italy,1995,1748618.125,57.174408,22.02845383,1856.21,8978528.0,0.564945638,0.28687349,0.219532117,-0.200129077
5930,Italy,2000,2046561.75,56.692178,22.91796875,1850.2,8578751.0,0.603427708,0.251576692,0.235991478,-0.228254557
5935,Italy,2005,2123677.25,58.281212,24.63233566,1811.1,8948838.0,0.597574472,0.264230967,0.304927766,-0.309187323
5940,Italy,2010,2293011.0,59.325229,24.79245377,1776.77,12506324.0,0.619359314,0.253229141,0.28828606,-0.331858724
5945,Italy,2015,2241117.0,60.578494,24.44461441,1717.47,16248664.0,0.591936648,0.237958565,0.304893792,-0.3035025
5949,Italy,2019,2466327.5,60.550075,25.59632874,1717.83,17168478.0,0.577943027,0.249250352,0.307117254,-0.292340577
7250,Latvia,1990,44794.59375,2.664439,1.254252911,1746.1490000000003,132067.7031,0.630553424,0.225816414,0.165342718,-0.145146474
7255,Latvia,1995,24087.66016,2.50848,0.938803196,1975.91,122122.1406,0.4672167,0.093598515,0.127892032,-0.173702821
7260,Latvia,2000,28260.00977,2.384164,0.930018604,1975.79,116468.3359,0.557660878,0.173052117,0.173608467,-0.286396325
7265,Latvia,2005,37609.67969,2.251993,0.974700689,1905.51,165464.875,0.616119027,0.30466643,0.276432484,-0.505456209
7270,Latvia,2010,40952.02344,2.118861,0.851937652,1935.14,272943.2813,0.614504755,0.203048319,0.352121711,-0.502789497
7275,Latvia,2015,49375.71875,1.997674,0.897909105,1901.74,374383.1563,0.570723176,0.239692271,0.383900493,-0.522854984
7279,Latvia,2019,56079.44531,1.906743,0.896588743,1864.98,420451.1563,0.550870955,0.26207757,0.398963451,-0.555468798
7880,Malta,1990,5463.126953,0.362015,0.132750615,1746.1490000000003,13341.85059,0.674525082,0.357303023,0.447171539,-0.844827056
7885,Malta,1995,6444.413086,0.376896,0.143878788,2257.29,18584.20313,0.693417847,0.342799038,0.587514162,-0.988364041
7890,Malta,2000,10049.63184,0.393645,0.146938026,2251.18,25610.95703,0.601661503,0.27332443,0.507358491,-0.727199674
7895,Malta,2005,10343.13574,0.404653,0.150748998,2157.91,25173.12695,0.691582263,0.253800035,0.44634822,-0.804240942
7900,Malta,2010,11165.51758,0.414253,0.16280584,2110.2,41957.26172,0.658061028,0.31207183,0.515568614,-0.944778502
7905,Malta,2015,14656.38965,0.433559,0.191138163,1933.23,50681.98047,0.532202542,0.313946545,0.407757998,-0.860029399
7909,Malta,2019,17134.9082,0.440372,0.22019051,1915.42,60226.66016,0.510641336,0.253718674,0.352211505,-0.854537606
8860,Netherlands,1990,425511.375,14.965448,6.807824612,1476.19,1636162.75,0.53797555,0.259369522,0.590429366,-0.58910948
8865,Netherlands,1995,497378.5,15.467851,7.272158623,1481.56,1993048.0,0.520089507,0.244129241,0.633648574,-0.58435899
8870,Netherlands,2000,678720.5625,15.926188,8.20334816,1464.06,2037275.0,0.529904604,0.211234391,0.648508251,-0.588157892
8875,Netherlands,2005,801049.3125,16.367158,8.36416626,1433.61,2279614.0,0.496152937,0.201888293,0.825996757,-0.717831969
