,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
10700,Slovakia,2010,146741.875,5.404294,2.190112591,1805.15,484717.9063,0.591668725,0.227308288,0.681740582,-0.786779761
10705,Slovakia,2015,150161.8281,5.435611,2.287825584,1754.09,631306.5,0.569595933,0.265204281,0.753358841,-0.866208136
10709,Slovakia,2019,149921.4375,5.457013,2.468860865,1694.94,693621.875,0.583525658,0.290354639,0.853421867,-1.025321007
10750,Slovenia,1990,40194.34766,2.006405,1.12925303,1746.1490000000003,173961.2031,0.568788588,0.202020392,0.569708407,-0.581169307
10755,Slovenia,1995,42178.79688,1.991131,0.926256061,1755.7,190923.0313,0.60210979,0.248855665,0.365750432,-0.446923912
10760,Slovenia,2000,47351.51172,1.987717,0.917375922,1710.07,220440.9688,0.578695714,0.307538152,0.400031596,-0.490801752
10765,Slovenia,2005,56365.34375,1.994976,0.930541456,1696.55,262648.0938,0.558335245,0.345636964,0.593671739,-0.714146197
10770,Slovenia,2010,60950.05469,2.043337,0.964307606,1680.33,323130.5,0.590230465,0.271989793,0.636901021,-0.766694963
10775,Slovenia,2015,61784.96094,2.071199,0.950674415,1687.31,418514.0938,0.555433691,0.249611303,0.67073077,-0.762531698
10779,Slovenia,2019,70868.51563,2.078654,1.046805859,1592.93,453203.3438,0.55306375,0.281533003,0.787163973,-0.93897897
10820,Sweden,1990,259599.2344,8.567384,4.603871346,1558.67,1113819.75,0.510129511,0.338629544,0.405837059,-0.421201378
10825,Sweden,1995,281409.8125,8.83642,4.133455276,1638.93,1380502.0,0.494808912,0.286624163,0.460992754,-0.416968405
10830,Sweden,2000,353287.3438,8.88164,4.305336952,1643.44,1266196.0,0.49317041,0.252561003,0.493757516,-0.418244183
10835,Sweden,2005,387039.9688,9.038623,4.346067905,1605.51,1143874.5,0.486383557,0.234239429,0.603649735,-0.525871694
10840,Sweden,2010,434925.3125,9.390168,4.494977474,1640.51,1799197.625,0.508404851,0.261178434,0.556429207,-0.563770175
10845,Sweden,2015,489265.2188,9.76495,4.79061079,1620.93,2163540.75,0.480376363,0.282693982,0.43495059,-0.479151189
10849,Sweden,2019,526240.8125,10.036379,5.002136707,1605.28,2380619.25,0.466308206,0.292646885,0.444346488,-0.499285847
11730,Turkey,1990,617188.0,53.92176,17.73916817,1866.0,1562965.0,0.566846907,0.236171514,0.04472154,-0.074684478
11735,Turkey,1995,692754.8125,58.486456,19.40966034,1876.0,1558471.25,0.614760697,0.194183454,0.062510453,-0.097484514
11740,Turkey,2000,828606.0,63.240194,20.09259605,1937.0,2029505.25,0.606465459,0.206292734,0.076877885,-0.136473551
11745,Turkey,2005,971373.875,67.903469,20.06698608,1936.0,1987330.25,0.598639011,0.248846933,0.142767072,-0.220666438
11750,Turkey,2010,1430262.375,72.326988,22.58151817,1877.0,4660637.5,0.549775779,0.281656832,0.125627533,-0.206953302
11755,Turkey,2015,2022862.5,78.529409,26.61999893,1832.0,8296089.5,0.50911808,0.322724223,0.111479335,-0.167399704
11759,Turkey,2019,2248225.75,83.429615,28.08733368,1832.0,9685274.0,0.489421278,0.267736018,0.119962759,-0.147055224
12010,Ukraine,1990,614836.375,51.463105,25.06768036,1746.1490000000003,2893033.25,0.410112739,0.338790894,0.062841266,-0.062740363
12015,Ukraine,1995,301517.3125,50.903785,23.70498085,1746.1490000000003,2958491.25,0.470517427,0.12604478,0.057392217,-0.045230426
12020,Ukraine,2000,237864.6094,48.838065,19.88604546,1746.1490000000003,2552386.5,0.553293169,0.126031846,0.144928798,-0.134890497
12025,Ukraine,2005,375065.5,46.890772,20.40848541,1746.1490000000003,2273000.5,0.678567171,0.150337681,0.175576299,-0.186343282
12030,Ukraine,2010,440252.1563,45.79209,20.25287819,1746.1490000000003,2211308.0,0.664060533,0.108540237,0.186319008,-0.229065031
12035,Ukraine,2015,466740.0625,44.921639,16.5871067,1746.1490000000003,4445436.0,0.604149759,0.090140976,0.134082988,-0.139309585
12039,Ukraine,2019,578290.5,43.993638,16.49907684,1746.1490000000003,6535627.0,0.644882441,0.092689879,0.132176116,-0.167310372
